L0	L1	L2
9260	0171	0079
9338	0205	0039
007102932346M3	00710293000001	00710000000000
4230	0441	0056
004504424740M8	00450442000001	00450000000000
006009016535M8	00600901000001	00600000000000
0732	0732	0087
4419	0442	0045
00500247000001	00500247000001	00500000000000
6533	0668	0071
3232	0353	0037
5578	0624	0068
9256	0502	0071
008706982491M8	00870698000001	00870000000000
008707327250M8	00870732000001	00870000000000
8788	0668	0071
4198	0622	0064
5170	0622	0064
006803034381M8	00680303000001	00680000000000
007907964779M8	00790796000001	00790000000000
7719	0247	0050
00740478000001	00740478000001	00740000000000
8566	0615	0084
006009283692M8	00600928000001	00600000000000
006804303210M8	00680430000001	00680000000000
5739	0903	0060
6737	0714	0074
006009017733M8	00600901000001	00600000000000
006009287202M8	00600928000001	00600000000000
006806242893M8	00680624000001	00680000000000
4320	0638	0068
008709173776M8	00870917000001	00870000000000
007407149854M8	00740714000001	00740000000000
5618	0293	0071
2558	0191	0060
3965	0917	0087
3012	0714	0074
2392	0284	0064
3522	0698	0087
006009034305M8	00600903000001	00600000000000
9173	0714	0074
008709173796M8	00870917000001	00870000000000
003703383553M8	00370338000001	00370000000000
006009283878M8	00600928000001	00600000000000
9221	0899	0084
5156	0255	0052
008406153430M8	00840615000001	00840000000000
007106688677M8	00710668000001	00710000000000
003703533343M8	00370353000001	00370000000000
006407083589M8	00640708000001	00640000000000
007407144666M8	00740714000001	00740000000000
5186	0184	0056
1051	0191	0060
6206	0834	0052
8170	0698	0087
8175	0732	0087
005202555215M8	00520255000001	00520000000000
006802142124M8	00680214000001	00680000000000
007407147372M8	00740714000001	00740000000000
00680712000001	00680712000001	00680000000000
9019	0205	0039
9404	0283	0079
008709175731M8	00870917000001	00870000000000
3677	0291	0079
003703538919M8	00370353000001	00370000000000
8019	0809	0068
004504424857M8	00450442000001	00450000000000
008406159262M8	00840615000001	00840000000000
006009038704M8	00600903000001	00600000000000
5414	0714	0074
007407142416M8	00740714000001	00740000000000
003703538144M8	00370353000001	00370000000000
006808093046M8	00680809000001	00680000000000
005604418074M8	00560441000001	00560000000000
006009033725M8	00600903000001	00600000000000
006804308974M8	00680430000001	00680000000000
008408998050M8	00840899000001	00840000000000
8347	0714	0074
006802144284M8	00680214000001	00680000000000
005208345144M8	00520834000001	00520000000000
1032	0191	0060
005604415419M8	00560441000001	00560000000000
5334	0293	0071
003707258946M8	00370725000001	00370000000000
006807122572M8	00680712000001	00680000000000
007901711951M8	00790171000001	00790000000000
007407144803M8	00740714000001	00740000000000
008709172694M8	00870917000001	00870000000000
006802144232M8	00680214000001	00680000000000
7703	0586	0079
9297	0712	0068
005604417284M8	00560441000001	00560000000000
6891	0899	0084
7951	0303	0068
8378	0142	0087
003902054993M8	00390205000001	00390000000000
008108242757M8	00810824000001	00810000000000
005002472262V5	00500247000001	00500000000000
3782	0615	0084
005002478331M7	00500247000001	00500000000000
8253	0714	0074
6085	0255	0052
008707328657M8	00870732000001	00870000000000
2192	0430	0068
008108558918L5	00810855000001	00810000000000
005002472360M8	00500247000001	00500000000000
008108553087M8	00810855000001	00810000000000
5660	0917	0087
0431	0431	0037
4963	0792	0060
3838	0917	0087
007407143284M8	00740714000001	00740000000000
005002479333M8	00500247000001	00500000000000
1752	0291	0079
0052	0052	0052
3489	0698	0087
006804303930M8	00680430000001	00680000000000
8493	0714	0074
008408992570M8	00840899000001	00840000000000
005202552159M8	00520255000001	00520000000000
6327	0130	0045
006009012689M8	00600901000001	00600000000000
007907962525M8	00790796000001	00790000000000
5046	0432	0079
2704	0698	0087
5248	0171	0079
1897	0272	0060
7315	0732	0087
005004862236M8	00500486000001	00500000000000
3053	0732	0087
006806245264M8	00680624000001	00680000000000
4184	0205	0039
007407141417M8	00740714000001	00740000000000
007905865065M8	00790586000001	00790000000000
2831	0622	0064
006804304824M8	00680430000001	00680000000000
6635	0714	0074
3111	0714	0074
8116	0184	0056
4026	0618	0050
4070	0255	0052
6025	0622	0064
007105026979M8	00710502000001	00710000000000
3004	0205	0039
007407143098M8	00740714000001	00740000000000
008701428011M8	00870142000001	00870000000000
3994	0901	0060
8762	0698	0087
1924	0272	0060
6611	0698	0087
006806387541M8	00680638000001	00680000000000
008707325376M8	00870732000001	00870000000000
008408998504M8	00840899000001	00840000000000
005202556780M8	00520255000001	00520000000000
007407145867M8	00740714000001	00740000000000
8581	0283	0079
007106682020M8	00710668000001	00710000000000
007905861176M8	00790586000001	00790000000000
9755	0255	0052
6098	0651	0037
007407145757M8	00740714000001	00740000000000
4741	0668	0071
00520834000001	00520834000001	00520000000000
006009032583M8	00600903000001	00600000000000
005604413587M8	00560441000001	00560000000000
003902053004M8	00390205000001	00390000000000
007901718941M8	00790171000001	00790000000000
8465	0184	0056
006006612373M8	00600661000001	00600000000000
5932	0205	0039
005604412983M8	00560441000001	00560000000000
9499	0430	0068
4237	0714	0074
006002726953M8	00600272000001	00600000000000
008709176484M8	00870917000001	00870000000000
007407143482M8	00740714000001	00740000000000
006006615478M8	00600661000001	00600000000000
008108557801M8	00810855000001	00810000000000
1301	0142	0087
3445	0430	0068
0824	0824	0081
0446	0446	0037
7494	0899	0084
007407148253M8	00740714000001	00740000000000
003902051801M8	00390205000001	00390000000000
006808095053M8	00680809000001	00680000000000
007105025779M8	00710502000001	00710000000000
1170	0732	0087
3701	0732	0087
2227	0205	0039
7418	0557	0081
5521	0901	0060
4623	0834	0052
1920	0255	0052
004501306927M8	00450130000001	00450000000000
5193	0567	0052
8830	0430	0068
2688	0247	0050
008404808593M8	00840480000001	00840000000000
008706989131M8	00870698000001	00870000000000
008707325354M8	00870732000001	00870000000000
003902053196M8	00390205000001	00390000000000
008709174136M8	00870917000001	00870000000000
008108246976M8	00810824000001	00810000000000
004508038914M8	00450803000001	00450000000000
007907967756M8	00790796000001	00790000000000
0338	0338	0037
00390205000001	00390205000001	00390000000000
007407142662M8	00740714000001	00740000000000
6333	0792	0060
007901716809M8	00790171000001	00790000000000
2335	0651	0037
003704312978M8	00370431000001	00370000000000
008404802634M8	00840480000001	00840000000000
7785	0284	0064
008706988366M8	00870698000001	00870000000000
9526	0638	0068
7720	0615	0084
006407088289M8	00640708000001	00640000000000
008108552775M8	00810855000001	00810000000000
8629	0796	0079
3391	0293	0071
006407087595M8	00640708000001	00640000000000
7016	0708	0064
2251	0809	0068
8076	0714	0074
006806389663M3	00680638000001	00680000000000
6714	0638	0068
1416	0714	0074
005604413321M8	00560441000001	00560000000000
007106686954M8	00710668000001	00710000000000
003902051589M8	00390205000001	00390000000000
006804302473M8	00680430000001	00680000000000
005202552339M8	00520255000001	00520000000000
8787	0191	0060
6406	0899	0084
003704311221M8	00370431000001	00370000000000
005202552341M3	00520255000001	00520000000000
008706985423M8	00870698000001	00870000000000
5918	0698	0087
5376	0732	0087
008707323470M8	00870732000001	00870000000000
4299	0890	0037
003707251585M8	00370725000001	00370000000000
1723	0191	0060
9032	0338	0037
8914	0803	0045
1839	0732	0087
003706516228M8	00370651000001	00370000000000
3899	0834	0052
007407145882M8	00740714000001	00740000000000
1250	0255	0052
007901718238M8	00790171000001	00790000000000
2945	0890	0037
007404785130M8	00740478000001	00740000000000
008706982206M8	00870698000001	00870000000000
008707321264M8	00870732000001	00870000000000
008707328813M8	00870732000001	00870000000000
1398	0130	0045
4484	0899	0084
5482	0502	0071
005002479021M8	00500247000001	00500000000000
006009036219M8	00600903000001	00600000000000
7229	0638	0068
007407149173M8	00740714000001	00740000000000
2497	0184	0056
007407148128M8	00740714000001	00740000000000
006804307532M8	00680430000001	00680000000000
008706987346M8	00870698000001	00870000000000
4276	0303	0068
008406153775M8	00840615000001	00840000000000
007407148489M8	00740714000001	00740000000000
1139	0442	0045
2586	0130	0045
7517	0653	0037
007407143661M8	00740714000001	00740000000000
008709172365M8	00870917000001	00870000000000
008406159561M8	00840615000001	00840000000000
007902836935M8	00790283000001	00790000000000
003707840387L6	003707840000L4	00370000000000
003706538731M8	00370653000001	00370000000000
006804307064M8	00680430000001	00680000000000
008406159546M8	00840615000001	00840000000000
6145	0205	0039
007407147403M8	00740714000001	00740000000000
003702456882M8	00370245000001	00370000000000
1125	0291	0079
2654	0622	0064
4989	0480	0084
004504424975M8	00450442000001	00450000000000
9646	0899	0084
006009281866M8	00600928000001	00600000000000
006807122631M8	00680712000001	00680000000000
004504421631M7	00450442000001	00450000000000
007407141836M8	00740714000001	00740000000000
007905864871M8	00790586000001	00790000000000
4945	0622	0064
006804301936M8	00680430000001	00680000000000
007106687796V8	00710668000001	00710000000000
9651	0855	0081
6549	0557	0081
6029	0441	0056
006806247536M8	00680624000001	00680000000000
006804308893M8	00680430000001	00680000000000
008404809695M7	00840480000001	00840000000000
6915	0255	0052
3089	0698	0087
008709172683M8	00870917000001	00870000000000
4253	0205	0039
008706986895M8	00870698000001	00870000000000
006407082815M8	00640708000001	00640000000000
005208349653M8	00520834000001	00520000000000
008706985199M8	00870698000001	00870000000000
3576	0442	0045
004504425652M8	00450442000001	00450000000000
003704460000L4	003704460000L4	00370000000000
005609071502M8	00560907000001	00560000000000
6010	0714	0074
3536	0732	0087
003706537852M8	00370653000001	00370000000000
0834	0834	0052
008105575279M8	00810557000001	00810000000000
004504424688M8	00450442000001	00450000000000
006406223170M8	00640622000001	00640000000000
006804309544M8	00680430000001	00680000000000
2912	0430	0068
7856	0431	0037
008707328223M8	00870732000001	00870000000000
7119	0917	0087
008108559713M8	00810855000001	00810000000000
006407084849M8	00640708000001	00640000000000
006807124916M8	00680712000001	00680000000000
5424	0431	0037
003703385907M8	00370338000001	00370000000000
3655	0714	0074
008108552016M8	00810855000001	00810000000000
006009018665M8	00600901000001	00600000000000
006806382619M8	00680638000001	00680000000000
8526	0714	0074
006402843415M8	00640284000001	00640000000000
008706987021M8	00870698000001	00870000000000
003702455997M8	00370245000001	00370000000000
5065	0586	0079
6161	0586	0079
3864	0557	0081
007105027740M8	00710502000001	00710000000000
007407142557M8	00740714000001	00740000000000
005202557399M8	00520255000001	00520000000000
2259	0284	0064
5235	0928	0060
5203	0205	0039
3716	0141	0037
4899	0714	0074
007404789285M8	00740478000001	00740000000000
007907936155M8	00790793000001	00790000000000
007904325046M8	00790432000001	00790000000000
2405	0661	0060
007407141686M8	00740714000001	00740000000000
4357	0917	0087
005604411964M8	00560441000001	00560000000000
008707324872M8	00870732000001	00870000000000
007901712725M8	00790171000001	00790000000000
8213	0712	0068
003902053978M8	00390205000001	00390000000000
004508034896M8	00450803000001	00450000000000
1516	0809	0068
9399	0903	0060
006009038303M8	00600903000001	00600000000000
005202557135M8	00520255000001	00520000000000
1728	0698	0087
008707328375M8	00870732000001	00870000000000
007407145190M8	00740714000001	00740000000000
3164	0732	0087
004505141908M8	00450514000001	00450000000000
4235	0712	0068
006806382493M8	00680638000001	00680000000000
003701989434M8	00370198000001	00370000000000
006009015267M8	00600901000001	00600000000000
6212	0917	0087
006806243014M8	00680624000001	00680000000000
1394	0624	0068
005006181076M7	00500618000001	00500000000000
7674	0514	0045
3648	0809	0068
9031	0586	0079
008406154699M8	00840615000001	00840000000000
3949	0171	0079
4891	0638	0068
007105028882M8	00710502000001	00710000000000
9455	0803	0045
3688	0903	0060
7107	0714	0074
2076	0291	0079
5012	0714	0074
007407141272M8	00740714000001	00740000000000
00600792000001	00600792000001	00600000000000
9156	0441	0056
003704311771M8	00370431000001	00370000000000
2254	0502	0071
1110	0293	0071
2906	0441	0056
1426	0714	0074
5943	0917	0087
003902055203M8	00390205000001	00390000000000
008707327523M8	00870732000001	00870000000000
006407084911M8	00640708000001	00640000000000
1185	0247	0050
006804305869M8	00680430000001	00680000000000
007407148059M8	00740714000001	00740000000000
008706988503M8	00870698000001	00870000000000
1035	0191	0060
005006187798M8	00500618000001	00500000000000
006808093648M8	00680809000001	00680000000000
3100	0899	0084
00680000000000	00680000000000	00680000000000
007902912112M8	00790291000001	00790000000000
008706987153M8	00870698000001	00870000000000
9021	0247	0050
1655	0255	0052
003701414213M8	00370141000001	00370000000000
4583	0432	0079
4779	0796	0079
007407143437M8	00740714000001	00740000000000
9524	0638	0068
6953	0272	0060
1592	0184	0056
006407083066M8	00640708000001	00640000000000
7557	0903	0060
003701982047M8	00370198000001	00370000000000
2277	0284	0064
7071	0622	0064
2675	0903	0060
4273	0792	0060
004504424449M8	00450442000001	00450000000000
006807123061M8	00680712000001	00680000000000
1851	0205	0039
4494	0245	0037
2968	0698	0087
003706536240M8	00370653000001	00370000000000
008709171764M8	00870917000001	00870000000000
1373	0651	0037
5543	0441	0056
006804308577M8	00680430000001	00680000000000
003902051800M8	00390205000001	00390000000000
003902059295M8	00390205000001	00390000000000
5348	0502	0071
5120	0478	0074
6918	0796	0079
1013	0205	0039
008404807825M8	00840480000001	00840000000000
5213	0130	0045
008706985187M8	00870698000001	00870000000000
007407144653M8	00740714000001	00740000000000
006407084326M8	00640708000001	00640000000000
7348	0803	0045
9116	0486	0050
004504429088M8	00450442000001	00450000000000
1137	0618	0050
8848	0198	0037
5262	0502	0071
008706985434M8	00870698000001	00870000000000
005002477048M8	00500247000001	00500000000000
1586	0171	0079
006806248463M8	00680624000001	00680000000000
008709173199M8	00870917000001	00870000000000
3152	0714	0074
006804303445M8	00680430000001	00680000000000
007902917764M8	00790291000001	00790000000000
2103	0714	0074
5466	0567	0052
1116	0622	0064
005004863052M8	00500486000001	00500000000000
1506	0638	0068
8370	0708	0064
006406225355M8	00640622000001	00640000000000
6961	0430	0068
006406227501M8	00640622000001	00640000000000
4909	0714	0074
4618	0890	0037
008701422535M8	00870142000001	00870000000000
8367	0353	0037
2000	0291	0079
3900	0796	0079
006406226461M8	00640622000001	00640000000000
5178	0480	0084
5138	0171	0079
4353	0478	0074
003706538869M8	00370653000001	00370000000000
006009281047M8	00600928000001	00600000000000
008709172515M8	00870917000001	00870000000000
1324	0502	0071
2955	0668	0071
4913	0638	0068
6909	0205	0039
5219	0557	0081
004505147908M8	00450514000001	00450000000000
007904327189M8	00790432000001	00790000000000
008707321838M8	00870732000001	00870000000000
007407148185M8	00740714000001	00740000000000
8210	0486	0050
007407149293M8	00740714000001	00740000000000
006406224062M8	00640622000001	00640000000000
008706989391M8	00870698000001	00870000000000
1232	0668	0071
007407149632M8	00740714000001	00740000000000
7018	0557	0081
9167	0480	0084
8264	0899	0084
5506	0338	0037
3846	0293	0071
006808097455V7	00680809000001	00680000000000
003702452452M8	00370245000001	00370000000000
005601843276M8	00560184000001	00560000000000
3329	0698	0087
007102936546M8	00710293000001	00710000000000
4471	0353	0037
2399	0441	0056
007407149172M8	00740714000001	00740000000000
007407148336M8	00740714000001	00740000000000
006009283297M8	00600928000001	00600000000000
008707323502M8	00870732000001	00870000000000
4904	0586	0079
007407148600M8	00740714000001	00740000000000
00840480000001	00840480000001	00840000000000
006806381314M8	00680638000001	00680000000000
007407146618M8	00740714000001	00740000000000
9150	0586	0079
1952	0205	0039
5317	0567	0052
7325	0901	0060
4612	0205	0039
6493	0191	0060
1433	0480	0084
007905288133M8	00790528000001	00790000000000
3891	0624	0068
8323	0714	0074
2312	0899	0084
007901712622M8	00790171000001	00790000000000
003701414369M8	00370141000001	00370000000000
005208345197M8	00520834000001	00520000000000
008709175450M8	00870917000001	00870000000000
005002472861M8	00500247000001	00500000000000
006006619495M8	00600661000001	00600000000000
008709174716M8	00870917000001	00870000000000
4666	0714	0074
8094	0171	0079
007901718121M8	00790171000001	00790000000000
1176	0586	0079
007106685254M8	00710668000001	00710000000000
007407146562M8	00740714000001	00740000000000
007901718094M8	00790171000001	00790000000000
00870142000001	00870142000001	00870000000000
007901711440M8	00790171000001	00790000000000
5049	0430	0068
2966	0586	0079
007905867314M8	00790586000001	00790000000000
3425	0586	0079
9216	0732	0087
005202557895M8	00520255000001	00520000000000
3726	0714	0074
4392	0293	0071
8219	0557	0081
7686	0855	0081
006807125640M8	00680712000001	00680000000000
008709175941M8	00870917000001	00870000000000
007407148683M8	00740714000001	00740000000000
006808096986M8	00680809000001	00680000000000
4271	0441	0056
00790291000001	00790291000001	00790000000000
008408999661M8	00840899000001	00840000000000
5091	0191	0060
007907968290M8	00790796000001	00790000000000
008408991461M8	00840899000001	00840000000000
003707840482L6	003707840000L4	00370000000000
8843	0638	0068
3970	0796	0079
1875	0184	0056
6507	0272	0060
003703538954M8	00370353000001	00370000000000
004504427735M8	00450442000001	00450000000000
5962	0338	0037
006002728651M8	00600272000001	00600000000000
006804306961M8	00680430000001	00680000000000
7701	0305	0037
3893	0205	0039
007902919234M8	00790291000001	00790000000000
007407146639M8	00740714000001	00740000000000
007907938560M8	00790793000001	00790000000000
4753	0624	0068
7403	0714	0074
5907	0338	0037
007407149328M8	00740714000001	00740000000000
007902837214M7	00790283000001	00790000000000
004504423404M8	00450442000001	00450000000000
007407145214M8	00740714000001	00740000000000
7707	0917	0087
008707324879M8	00870732000001	00870000000000
3142	0615	0084
1064	0714	0074
5592	0714	0074
8773	0338	0037
8348	0928	0060
2132	0712	0068
6464	0441	0056
3704	0917	0087
5166	0618	0050
1191	0486	0050
008707323041M8	00870732000001	00870000000000
9118	0901	0060
9063	0502	0071
2897	0432	0079
6437	0796	0079
5182	0661	0060
8251	0615	0084
5075	0899	0084
7308	0338	0037
2245	0272	0060
007105025262M8	00710502000001	00710000000000
4096	0431	0037
7214	0283	0079
3822	0792	0060
005002476073M8	00500247000001	00500000000000
1749	0480	0084
7366	0191	0060
003704319339M8	00370431000001	00370000000000
5123	0618	0050
7300	0624	0068
7466	0353	0037
005002473302M8	00500247000001	00500000000000
006804306778M8	00680430000001	00680000000000
006002724106M8	00600272000001	00600000000000
7183	0441	0056
5323	0698	0087
00370198000001	00370198000001	00370000000000
3927	0899	0084
7083	0567	0052
3221	0796	0079
008707325658M8	00870732000001	00870000000000
003902052807M8	00390205000001	00390000000000
1203	0901	0060
008406156974M8	00840615000001	00840000000000
7507	0698	0087
008707323898M8	00870732000001	00870000000000
007407141268M8	00740714000001	00740000000000
4649	0714	0074
1539	0899	0084
008706982854M8	00870698000001	00870000000000
1061	0480	0084
006407084842M8	00640708000001	00640000000000
004504427447M8	00450442000001	00450000000000
6036	0653	0037
5833	0615	0084
006808091091M8	00680809000001	00680000000000
007404788136M8	00740478000001	00740000000000
007907969367M8	00790796000001	00790000000000
004503210747M6	004503210000L4	00450000000000
008706984957M8	00870698000001	00870000000000
8970	0293	0071
006806389199M8	00680638000001	00680000000000
007907961383M8	00790796000001	00790000000000
2338	0899	0084
003902051588M8	00390205000001	00390000000000
8838	0668	0071
3275	0899	0084
006806386732M8	00680638000001	00680000000000
5690	0283	0079
1760	0441	0056
7226	0651	0037
008707324387M8	00870732000001	00870000000000
006406228574M8	00640622000001	00640000000000
005205675090M8	00520567000001	00520000000000
5298	0205	0039
008108244620M8	00810824000001	00810000000000
008404806765M8	00840480000001	00840000000000
7042	0291	0079
008709175210M8	00870917000001	00870000000000
006009011331M8	00600901000001	00600000000000
7505	0255	0052
6863	0834	0052
007407142413M8	00740714000001	00740000000000
4669	0442	0045
3132	0618	0050
6163	0284	0064
9226	0714	0074
3103	0171	0079
007901716322M8	00790171000001	00790000000000
008706987691M8	00870698000001	00870000000000
5916	0171	0079
007905285534M7	00790528000001	00790000000000
007407143774M8	00740714000001	00740000000000
005002475023M8	00500247000001	00500000000000
5653	0502	0071
003707192307M8	00370719000001	00370000000000
006006619098M8	00600661000001	00600000000000
6455	0251	0045
2416	0714	0074
9171	0714	0074
7593	0567	0052
5569	0442	0045
005006181293M8	00500618000001	00500000000000
008108559699M8	00810855000001	00810000000000
2636	0618	0050
003708908126V8	00370890000001	00370000000000
007106684728M8	00710668000001	00710000000000
9128	0622	0064
3589	0708	0064
6972	0205	0039
007407148771M8	00740714000001	00740000000000
2550	0796	0079
9034	0899	0084
3617	0638	0068
003902054290M8	00390205000001	00390000000000
005205677889M8	00520567000001	00520000000000
006806246619L5	00680624000001	00680000000000
2842	0171	0079
006808098120V8	00680809000001	00680000000000
5809	0622	0064
8118	0353	0037
005202554936M8	00520255000001	00520000000000
9231	0431	0037
005208343148M8	00520834000001	00520000000000
003902053253M8	00390205000001	00390000000000
006406222831M8	00640622000001	00640000000000
5817	0247	0050
007105025469M8	00710502000001	00710000000000
008108553304M8	00810855000001	00810000000000
6985	0917	0087
006007922334M8	00600792000001	00600000000000
4358	0698	0087
4133	0293	0071
1113	0338	0037
5911	0668	0071
007407146137M8	00740714000001	00740000000000
005006185123M8	00500618000001	00500000000000
6048	0618	0050
007905864050M8	00790586000001	00790000000000
006407081706M8	00640708000001	00640000000000
007407141553M8	00740714000001	00740000000000
007407149658M8	00740714000001	00740000000000
9096	0903	0060
7964	0622	0064
7310	0430	0068
4302	0502	0071
003701413716M8	00370141000001	00370000000000
5061	0622	0064
007105025631M8	00710502000001	00710000000000
3824	0796	0079
8390	0901	0060
007407141436M8	00740714000001	00740000000000
004501305695M8	00450130000001	00450000000000
6453	0171	0079
005601842497M8	00560184000001	00560000000000
4919	0502	0071
5047	0480	0084
007407141455M8	00740714000001	00740000000000
0340	0321	0045
6946	0824	0081
005202556771M8	00520255000001	00520000000000
006001918293M8	00600191000001	00600000000000
006009011043M8	00600901000001	00600000000000
003703385537M8	00370338000001	00370000000000
6879	0247	0050
8674	0618	0050
005205671653M8	00520567000001	00520000000000
2674	0615	0084
006009015814M8	00600901000001	00600000000000
2935	0714	0074
006001917374M8	00600191000001	00600000000000
3386	0796	0079
007901718180M8	00790171000001	00790000000000
008404806621M8	00840480000001	00840000000000
006006612405M8	00600661000001	00600000000000
006001918178M8	00600191000001	00600000000000
007901715198M8	00790171000001	00790000000000
006804308220M8	00680430000001	00680000000000
1602	0638	0068
4200	0502	0071
5894	0618	0050
9546	0615	0084
008709173755M8	00870917000001	00870000000000
8717	0502	0071
1505	0441	0056
003703381708M7	00370338000001	00370000000000
007407149497M8	00740714000001	00740000000000
3460	0338	0037
3577	0901	0060
0321	0321	0045
3307	0502	0071
007404783549M8	00740478000001	00740000000000
5767	0205	0039
7728	0205	0039
3587	0441	0056
5216	0184	0056
007404785639M8	00740478000001	00740000000000
008108243866M8	00810824000001	00810000000000
2062	0712	0068
5282	0714	0074
008706986358M8	00870698000001	00870000000000
3818	0917	0087
006002729043M8	00600272000001	00600000000000
3355	0142	0087
006009289648M8	00600928000001	00600000000000
5755	0557	0081
007407141426M8	00740714000001	00740000000000
6679	0247	0050
007103173268M3	00710317000001	00710000000000
003902055258M8	00390205000001	00390000000000
0528	0528	0079
5517	0502	0071
9832	0653	0037
006406224198M8	00640622000001	00640000000000
1481	0486	0050
008709174839M8	00870917000001	00870000000000
6482	0917	0087
008406159123M8	00840615000001	00840000000000
4213	0141	0037
007404787006M8	00740478000001	00740000000000
4078	0247	0050
0081	0081	0081
007102935947M8	00710293000001	00710000000000
4434	0732	0087
3348	0442	0045
008408991821M8	00840899000001	00840000000000
008404801749M7	00840480000001	00840000000000
003707252267M8	00370725000001	00370000000000
005004861087M8	00500486000001	00500000000000
1951	0171	0079
006806388947M8	00680638000001	00680000000000
9089	0714	0074
008406155833M8	00840615000001	00840000000000
004501301623M8	00450130000001	00450000000000
7603	0928	0060
006007926177M8	00600792000001	00600000000000
6354	0284	0064
008706981772M8	00870698000001	00870000000000
4188	0353	0037
1138	0899	0084
008706987027M8	00870698000001	00870000000000
008108554493M8	00810855000001	00810000000000
8665	0901	0060
006804307511M8	00680430000001	00680000000000
5551	0792	0060
3310	0586	0079
007902916311M8	00790291000001	00790000000000
007905867090M8	00790586000001	00790000000000
4309	0661	0060
6365	0855	0081
008709175660M8	00870917000001	00870000000000
3851	0698	0087
007106685634M8	00710668000001	00710000000000
4354	0624	0068
1939	0714	0074
003707259049M8	00370725000001	00370000000000
008709177887M7	00870917000001	00870000000000
8158	0714	0074
8177	0732	0087
008706988241M8	00870698000001	00870000000000
9080	0708	0064
7335	0245	0037
007407146930M8	00740714000001	00740000000000
005604413551M8	00560441000001	00560000000000
003902057616M8	00390205000001	00390000000000
8900	0803	0045
006407089664M8	00640708000001	00640000000000
2200	0714	0074
007105028509M8	00710502000001	00710000000000
8602	0903	0060
004501304418M8	00450130000001	00450000000000
008706983946M8	00870698000001	00870000000000
003706536713V8	00370653000001	00370000000000
007103174453M8	00710317000001	00710000000000
2019	0903	0060
7015	0502	0071
6186	0824	0081
006804303006M8	00680430000001	00680000000000
5455	0255	0052
7135	0255	0052
007106683569M8	00710668000001	00710000000000
9388	0430	0068
9146	0725	0037
008706987363M8	00870698000001	00870000000000
005604411209M8	00560441000001	00560000000000
006808096012M8	00680809000001	00680000000000
008706983089M8	00870698000001	00870000000000
1450	0431	0037
008709172172M8	00870917000001	00870000000000
006009039578M8	00600903000001	00600000000000
8431	0899	0084
3173	0191	0060
003707840000L4	003707840000L4	00370000000000
003902057349M8	00390205000001	00390000000000
006009282371M8	00600928000001	00600000000000
003701988599M8	00370198000001	00370000000000
006009017748M8	00600901000001	00600000000000
006808093526M8	00680809000001	00680000000000
7189	0432	0079
7460	0624	0068
5054	0698	0087
004508037348M8	00450803000001	00450000000000
006001912896M8	00600191000001	00600000000000
007407147545M8	00740714000001	00740000000000
003703538193M8	00370353000001	00370000000000
2664	0191	0060
7374	0191	0060
4842	0708	0064
008707321839M8	00870732000001	00870000000000
008108245304M8	00810824000001	00810000000000
1088	0141	0037
6919	0712	0068
8790	0899	0084
008707323197M8	00870732000001	00870000000000
007102935015M8	00710293000001	00710000000000
5804	0903	0060
003902052227M8	00390205000001	00390000000000
8901	0638	0068
7250	0732	0087
004504427371M8	00450442000001	00450000000000
007105024967M8	00710502000001	00710000000000
5127	0430	0068
5905	0586	0079
003707252427M8	00370725000001	00370000000000
8117	0486	0050
9529	0247	0050
007407149629M8	00740714000001	00740000000000
2350	0803	0045
7351	0714	0074
1838	0732	0087
004501309494M8	00450130000001	00450000000000
1785	0284	0064
2135	0725	0037
003902058949M8	00390205000001	00390000000000
005002476679M8	00500247000001	00500000000000
2715	0191	0060
008404809167M8	00840480000001	00840000000000
9056	0928	0060
007905865807M8	00790586000001	00790000000000
4595	0478	0074
007407148158M8	00740714000001	00740000000000
0586	0586	0079
6426	0283	0079
007905866488M8	00790586000001	00790000000000
8782	0353	0037
6513	0624	0068
5101	0809	0068
003703538424M8	00370353000001	00370000000000
003708904618M8	00370890000001	00370000000000
003701416855M8	00370141000001	00370000000000
6287	0698	0087
5276	0272	0060
007907967273M8	00790796000001	00790000000000
0387	0784	0037
4330	0430	0068
7553	0732	0087
6109	0441	0056
006806246962M8	00680624000001	00680000000000
007901713216M8	00790171000001	00790000000000
8898	0714	0074
4733	0668	0071
006806245864V3	00680624000001	00680000000000
003703531761M8	00370353000001	00370000000000
3019	0567	0052
003902051713M8	00390205000001	00390000000000
3777	0796	0079
7486	0284	0064
00810557000001	00810557000001	00810000000000
006007926037M8	00600792000001	00600000000000
2431	0130	0045
005604416968M8	00560441000001	00560000000000
007407148323M8	00740714000001	00740000000000
00790432000001	00790432000001	00790000000000
003902054141M8	00390205000001	00390000000000
4610	0130	0045
3325	0714	0074
008408998272M8	00840899000001	00840000000000
7504	0698	0087
007902835690M8	00790283000001	00790000000000
008706983115M8	00870698000001	00870000000000
006009282934M8	00600928000001	00600000000000
003902051851M8	00390205000001	00390000000000
4057	0714	0074
008706987144M8	00870698000001	00870000000000
008406152033M8	00840615000001	00840000000000
008406156897M8	00840615000001	00840000000000
008706989488M8	00870698000001	00870000000000
008709178372M8	00870917000001	00870000000000
007902837743M8	00790283000001	00790000000000
006806247460M8	00680624000001	00680000000000
9199	0638	0068
006806384891M8	00680638000001	00680000000000
8684	0899	0084
7753	0618	0050
7924	0130	0045
006407085340M8	00640708000001	00640000000000
008404804893M8	00840480000001	00840000000000
003902053160M8	00390205000001	00390000000000
